,BLE,BLN,BHE,BHN,new_BHE,new_BHN,fble,fbln,fnew_BHE,fnew_BHN
BLE,1.0,0.109073527089,-0.621082030221,0.762460773074,0.982986572306,0.116220176105,0.990219370518,0.108078496954,0.979723564919,0.115600699046
BLN,0.109073527089,1.0,-0.836866845354,-0.539381029965,0.107775955887,0.995993532949,0.10892727588,0.992916126009,0.107019286062,0.992767662551
BHE,-0.621082030221,-0.836866845354,1.0,-0.000867960056014,-0.62999590349,-0.844372656005,-0.623105493479,-0.833816431481,-0.625374188655,-0.838385054926
BHN,0.762460773074,-0.539381029965,-0.000867960056014,1.0,0.777144974575,-0.535023220935,0.76512939365,-0.538034277566,0.771055685651,-0.531149652103
new_BHE,0.982986572306,0.107775955887,-0.62999590349,0.777144974575,1.0,0.115883795546,0.98633242934,0.106902150022,0.992362519728,0.115123876083
new_BHN,0.116220176105,0.995993532949,-0.844372656005,-0.535023220935,0.115883795546,1.0,0.116499943255,0.992694897036,0.115241572907,0.992866159343
fble,0.990219370518,0.10892727588,-0.623105493479,0.76512939365,0.98633242934,0.116499943255,1.0,0.108706419696,0.994100000918,0.116523272326
fbln,0.108078496954,0.992916126009,-0.833816431481,-0.538034277566,0.106902150022,0.992694897036,0.108706419696,1.0,0.106955119591,0.999846724193
fnew_BHE,0.979723564919,0.107019286062,-0.625374188655,0.771055685651,0.992362519728,0.115241572907,0.994100000918,0.106955119591,1.0,0.11523694279
fnew_BHN,0.115600699046,0.992767662551,-0.838385054926,-0.531149652103,0.115123876083,0.992866159343,0.116523272326,0.999846724193,0.11523694279,1.0
