,BLE,BLN,BHE,BHN,new_BHE,new_BHN,fble,fbln,fnew_BHE,fnew_BHN
BLE,1.0,0.0828900754611,-0.629423654459,0.790892732077,0.997261852494,0.0910854183955,0.992028960045,0.0836181522399,0.991966055929,0.0916893937663
BLN,0.0828900754611,1.0,-0.82179529346,-0.538002749928,0.083831622422,0.995152589461,0.0838460860872,0.993019648126,0.0848255469155,0.992022567005
BHE,-0.629423654459,-0.82179529346,1.0,-0.0280601357695,-0.631557501079,-0.830063813152,-0.626614368377,-0.820078811549,-0.627417320799,-0.825096587226
BHN,0.790892732077,-0.538002749928,-0.0280601357695,1.0,0.792745334886,-0.53415712693,0.785031026901,-0.535775104557,0.784493946757,-0.529325669891
new_BHE,0.997261852494,0.083831622422,-0.631557501079,0.792745334886,1.0,0.0918565063278,0.991002228729,0.084512762118,0.991075285704,0.0925749708282
new_BHN,0.0910854183955,0.995152589461,-0.830063813152,-0.53415712693,0.0918565063278,1.0,0.0919797294818,0.992458152586,0.0929584315998,0.993103714123
fble,0.992028960045,0.0838460860872,-0.626614368377,0.785031026901,0.991002228729,0.0919797294818,1.0,0.0845036837464,0.999935753547,0.0926374807732
fbln,0.0836181522399,0.993019648126,-0.820078811549,-0.535775104557,0.084512762118,0.992458152586,0.0845036837464,1.0,0.0854843750567,0.999377576067
fnew_BHE,0.991966055929,0.0848255469155,-0.627417320799,0.784493946757,0.991075285704,0.0929584315998,0.999935753547,0.0854843750567,1.0,0.0936167397115
fnew_BHN,0.0916893937663,0.992022567005,-0.825096587226,-0.529325669891,0.0925749708282,0.993103714123,0.0926374807732,0.999377576067,0.0936167397115,1.0
