,BLE,BLN,BHE,BHN,new_BHE,new_BHN,fble,fbln,fnew_BHE,fnew_BHN
BLE,1.0,0.0509947455932,-0.589341947863,0.777046510583,0.996761225789,0.0585661366077,0.994765584752,0.0503212227918,0.994678085073,0.0579069478751
BLN,0.0509947455932,1.0,-0.832251287315,-0.58291367289,0.0516411346762,0.995711796441,0.0503333086,0.994628979241,0.0509971537284,0.993870101649
BHE,-0.589341947863,-0.832251287315,1.0,0.0441845500933,-0.591622604262,-0.839830144666,-0.587292197281,-0.830918886791,-0.587953401793,-0.835332024828
BHN,0.777046510583,-0.58291367289,0.0441845500933,1.0,0.779287102522,-0.579426631151,0.775085753247,-0.582741075052,0.77467335485,-0.576656155397
new_BHE,0.996761225789,0.0516411346762,-0.591622604262,0.779287102522,1.0,0.05920925161,0.993893121515,0.0509446339097,0.993975074853,0.0586234551772
new_BHN,0.0585661366077,0.995711796441,-0.839830144666,-0.579426631151,0.05920925161,1.0,0.057959342943,0.994531009715,0.0587228565826,0.994824917766
fble,0.994765584752,0.0503333086,-0.587292197281,0.775085753247,0.993893121515,0.057959342943,1.0,0.0500048164187,0.99992157357,0.0576638043249
fbln,0.0503212227918,0.994628979241,-0.830918886791,-0.582741075052,0.0509446339097,0.994531009715,0.0500048164187,1.0,0.0507032111484,0.999583270839
fnew_BHE,0.994678085073,0.0509971537284,-0.587953401793,0.77467335485,0.993975074853,0.0587228565826,0.99992157357,0.0507032111484,1.0,0.0584419448588
fnew_BHN,0.0579069478751,0.993870101649,-0.835332024828,-0.576656155397,0.0586234551772,0.994824917766,0.0576638043249,0.999583270839,0.0584419448588,1.0
