,BLE,BLN,BHE,BHN,new_BHE,new_BHN,fble,fbln,fnew_BHE,fnew_BHN
BLE,1.0,0.0722369358253,-0.589011372554,0.756930825883,0.982766507783,0.0771663824584,0.991696014433,0.0713409732243,0.980796919863,0.0760503726441
BLN,0.0722369358253,1.0,-0.839690015452,-0.576651856006,0.0785857444876,0.996270521782,0.0720807374436,0.995326378061,0.0779387067474,0.995205195629
BHE,-0.589011372554,-0.839690015452,1.0,0.0489595999054,-0.602990932479,-0.845086700391,-0.591842358883,-0.838367063324,-0.599430050039,-0.840907356054
BHN,0.756930825883,-0.576651856006,0.0489595999054,1.0,0.767269153615,-0.575363239429,0.761876974043,-0.57663798298,0.762932243481,-0.572998635254
new_BHE,0.982766507783,0.0785857444876,-0.602990932479,0.767269153615,1.0,0.083080155905,0.988534788286,0.0777473636736,0.994249658663,0.0822852420061
new_BHN,0.0771663824584,0.996270521782,-0.845086700391,-0.575363239429,0.083080155905,1.0,0.076837089984,0.995179756864,0.0824856434565,0.995311913841
fble,0.991696014433,0.0720807374436,-0.591842358883,0.761876974043,0.988534788286,0.076837089984,1.0,0.0718636941246,0.994065936167,0.0765843072181
fbln,0.0713409732243,0.995326378061,-0.838367063324,-0.57663798298,0.0777473636736,0.995179756864,0.0718636941246,1.0,0.0776574066212,0.999877430742
fnew_BHE,0.980796919863,0.0779387067474,-0.599430050039,0.762932243481,0.994249658663,0.0824856434565,0.994065936167,0.0776574066212,1.0,0.0822337013001
fnew_BHN,0.0760503726441,0.995205195629,-0.840907356054,-0.572998635254,0.0822852420061,0.995311913841,0.0765843072181,0.999877430742,0.0822337013001,1.0
