,BLE,BLN,BHE,BHN,new_BHE,new_BHN,fble,fbln,fnew_BHE,fnew_BHN
BLE,1.0,0.0352618954361,-0.567742941399,0.779420870685,0.992028404908,0.0464694384956,0.995756174634,0.0341595559462,0.993224240226,0.0463079533103
BLN,0.0352618954361,1.0,-0.824644328183,-0.592209412595,0.026210575427,0.98854215856,0.034200845493,0.995542785456,0.0246808956694,0.992162198266
BHE,-0.567742941399,-0.824644328183,1.0,0.0576519436252,-0.573677937931,-0.845949465482,-0.566986809599,-0.822934660841,-0.566423630477,-0.837995267968
BHN,0.779420870685,-0.592209412595,0.0576519436252,1.0,0.784644972862,-0.581146747643,0.778870968289,-0.592880238386,0.782939648843,-0.581151661154
new_BHE,0.992028404908,0.026210575427,-0.573677937931,0.784644972862,1.0,0.0485169161603,0.991107698542,0.0245985331931,0.994096107526,0.043573501479
new_BHN,0.0464694384956,0.98854215856,-0.845949465482,-0.581146747643,0.0485169161603,1.0,0.046146805376,0.987506837976,0.0435144355032,0.99351872392
fble,0.995756174634,0.034200845493,-0.566986809599,0.778870968289,0.991107698542,0.046146805376,1.0,0.0332941719698,0.997984917366,0.0461457663652
fbln,0.0341595559462,0.995542785456,-0.822934660841,-0.592880238386,0.0245985331931,0.987506837976,0.0332941719698,1.0,0.0236952136199,0.996598573833
fnew_BHE,0.993224240226,0.0246808956694,-0.566423630477,0.782939648843,0.994096107526,0.0435144355032,0.997984917366,0.0236952136199,1.0,0.0414695927278
fnew_BHN,0.0463079533103,0.992162198266,-0.837995267968,-0.581151661154,0.043573501479,0.99351872392,0.0461457663652,0.996598573833,0.0414695927278,1.0
